land,population,christians,muslims,unaf,hindu,buddhist,folk,other,jewish
Madagascar,20710000,85.3,3.0,6.9, 0.1, 0.1,4.5, 0.1, 0.1
Malawi,14900000,82.7,13.0,2.5, 0.1, 0.1,1.7, 0.1, 0.1
Malaysia,28400000,9.4,63.7,0.7,6.0,17.7,2.3,0.2, 0.1
Maldives,320000,0.4,98.4, 0.1,0.3,0.6, 0.1, 0.1, 0.1
Mali,15370000,3.2,92.4,2.7, 0.1, 0.1,1.6, 0.1, 0.1
Malta,420000,97.0,0.2,2.5,0.2, 0.1, 0.1, 0.1, 0.1
Marshall Islands,50000,97.5, 0.1,1.5, 0.1, 0.1,0.3,0.8, 0.1
Martinique,410000,96.5,0.2,2.3,0.2, 0.1,0.2,0.6, 0.1
Mauritania,3460000,0.3,99.1,0.1, 0.1, 0.1,0.5, 0.1, 0.1
Mauritius,1300000,25.3,16.7,0.6,56.4, 0.1,0.7,0.3, 0.1
Mayotte,200000,0.7,98.6,0.2, 0.1, 0.1,0.5, 0.1, 0.1
Mexico,113420000,95.1, 0.1,4.7, 0.1, 0.1, 0.1, 0.1, 0.1
Moldova,3570000,97.4,0.6,1.4, 0.1, 0.1, 0.1, 0.1,0.6
Monaco,40000,86.0,0.4,11.7, 0.1, 0.1, 0.1,0.2,1.7
Mongolia,2760000,2.3,3.2,35.9, 0.1,55.1,3.5, 0.1, 0.1
Montenegro,630000,78.1,18.7,3.2, 0.1, 0.1, 0.1, 0.1, 0.1
Montserrat, 10000,93.5, 0.1,4.8,0.1, 0.1,0.2,1.5, 0.1
Morocco,31950000, 0.1,99.9, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Mozambique,23390000,56.7,18.0,17.9, 0.1, 0.1,7.4, 0.1, 0.1
Namibia,2280000,97.5,0.3,1.9, 0.1, 0.1,0.2, 0.1, 0.1
Nauru,10000,79.0, 0.1,4.5, 0.1,1.1,8.1,7.4, 0.1
Nepal,29960000,0.5,4.6,0.3,80.7,10.3,3.7, 0.1, 0.1
Netherlands,16610000,50.6,6.0,42.1,0.5,0.2,0.2,0.2,0.2
Netherlands Antilles,200000,93.9,0.2,3.3,0.2,0.5,1.2,0.3,0.3
New Caledonia,250000,85.2,2.8,10.4, 0.1,0.6,0.2,0.8, 0.1
New Zealand,4370000,57.0,1.2,36.6,2.1,1.6,0.5,0.7,0.2
Nicaragua,5790000,85.8, 0.1,12.5, 0.1, 0.1,1.4,0.1, 0.1
Niger,15510000,0.8,98.4,0.7, 0.1, 0.1, 0.1, 0.1, 0.1
Nigeria,158420000,49.3,48.8,0.4, 0.1, 0.1,1.4, 0.1, 0.1
Niue, 10000,96.4, 0.1,3.3, 0.1, 0.1, 0.1,0.2, 0.1
North Korea,24350000,2.0, 0.1,71.3, 0.1,1.5,12.3,12.9, 0.1
Northern Mariana Is.,60000,81.3,0.7,1.0, 0.1,10.6,5.3,1.1, 0.1
Norway,4880000,84.7,3.7,10.1,0.5,0.6, 0.1,0.2, 0.1
Oman,2780000,6.5,85.9,0.2,5.5,0.8, 0.1,1.0, 0.1
Pakistan,173590000,1.6,96.4, 0.1,1.9, 0.1, 0.1, 0.1, 0.1
Palau,20000,86.7, 0.1,1.2, 0.1,0.8,0.8,10.4, 0.1
Palestinian territories,4040000,2.4,97.6, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Panama,3520000,93.0,0.7,4.8, 0.1,0.2,0.4,0.4,0.4
Papua New Guinea,6860000,99.2, 0.1, 0.1, 0.1, 0.1,0.4,0.2, 0.1
Paraguay,6450000,96.9, 0.1,1.1, 0.1, 0.1,1.7,0.2, 0.1
Peru,29080000,95.5, 0.1,3.0, 0.1,0.2,1.0,0.3, 0.1
Philippines,93260000,92.6,5.5,0.1, 0.1, 0.1,1.5,0.1, 0.1
Poland,38280000,94.3, 0.1,5.6, 0.1, 0.1, 0.1, 0.1, 0.1
Portugal,10680000,93.8,0.6,4.4,0.1,0.6,0.5, 0.1, 0.1
Puerto Rico,3750000,96.7, 0.1,1.9, 0.1,0.3,0.8,0.1, 0.1
Qatar,1760000,13.8,67.7,0.9,13.8,3.1, 0.1,0.7, 0.1
Republic of Macedonia,2060000,59.3,39.3,1.4, 0.1, 0.1, 0.1, 0.1, 0.1
Republic of the Congo,4040000,85.9,1.2,9.0, 0.1, 0.1,2.8,1.1, 0.1
Reunion,850000,87.6,4.2,2.0,4.5,0.2,0.4,1.1, 0.1
Romania,21490000,99.5,0.3,0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Russia,142960000,73.3,10.0,16.2, 0.1,0.1,0.2, 0.1,0.2
Rwanda,10620000,93.4,1.8,3.6, 0.1, 0.1,1.0,0.2, 0.1
Samoa,180000,96.8, 0.1,2.5, 0.1, 0.1, 0.1,0.4, 0.1
San Marino,30000,91.6, 0.1,7.2, 0.1, 0.1, 0.1,0.9,0.3
Sao Tome and Principe,170000,82.2, 0.1,12.6, 0.1, 0.1,2.9,2.4, 0.1
Saudi Arabia,27450000,4.4,93.0,0.7,1.1,0.3,0.3,0.3, 0.1
Senegal,12430000,3.6,96.4, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Serbia,7770000,92.5,4.2,3.3, 0.1, 0.1, 0.1, 0.1, 0.1
Seychelles,90000,94.0,1.1,2.1,2.1, 0.1, 0.1,0.6, 0.1
Sierra Leone,5870000,20.9,78.0,0.1, 0.1, 0.1,0.8, 0.1, 0.1
Singapore,5090000,18.2,14.3,16.4,5.2,33.9,2.3,9.7, 0.1
Slovakia,5460000,85.3,0.2,14.3, 0.1, 0.1, 0.1, 0.1, 0.1
Slovenia,2030000,78.4,3.6,18.0, 0.1, 0.1, 0.1, 0.1, 0.1
Solomon Islands,540000,97.4, 0.1,0.2, 0.1,0.3,1.3,0.7, 0.1
Somalia,9330000, 0.1,99.8, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
South Africa,50130000,81.2,1.7,14.9,1.1,0.2,0.4,0.3,0.1
South Korea,48180000,29.4,0.2,46.4, 0.1,22.9,0.8,0.2, 0.1
South Sudan,9950000,60.5,6.2,0.5, 0.1, 0.1,32.9, 0.1, 0.1
Spain,46080000,78.6,2.1,19.0, 0.1, 0.1, 0.1, 0.1,0.1
Sri Lanka,20860000,7.3,9.8, 0.1,13.6,69.3, 0.1, 0.1, 0.1
St. Helena, 10000,96.5, 0.1,3.3, 0.1, 0.1, 0.1,0.2, 0.1
St. Kitts and Nevis,50000,94.6,0.3,1.6,1.5, 0.1,1.3,0.8, 0.1
St. Lucia,170000,91.1,0.1,6.0,0.3, 0.1,0.5,2.0, 0.1
